Title,Artist,Gender,Earliest Date,Latest Date,Department,Culture,Country,Object Link
Travelling Boat being Rowed,,,-1981,-1981,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544214
Male god,,,-1390,-1352,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547777
Menat necklace from Malqata,,,-1390,-1352,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544509
Figure of Isis-Aphrodite,,,100,199,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544919
Torso of a High General,,,-399,-300,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/548360
"Bracelet with Agathodaimon, Isis-Tyche, Aphrodite, and Thermouthis",,,-99,100,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547376
Yuny and His Wife Renenutet,,,-1294,-1279,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544740
Standing figure of Amenhotep III,,,-1391,-1352,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544478
Canopic Jar (07.226.1) with a Lid Depicting a Queen (30.8.54),,,-1349,-1330,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544689
Statuette of a Royal (?)  Woman with the Cartouches of Necho II on her Arms,,,-610,-610,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/546746
Game of Hounds and Jackals,,,-1814,-1805,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/543867
"Hippopotamus (""William"")",,,-1961,-1878,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544227
"Statue of a goddess, probably Nehemetaway or Nebethetepet",,,-550,-550,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/553045
Block from a Relief Depicting a Battle,,,-1427,-1400,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544720
Portrait of the Boy Eutyches,,,100,150,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547951
Figure of an Asiatic captive,,,-1295,-1070,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/545919
Pair of Clappers,,,-1353,-1336,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544680
Bes-image of the god Hor-Asha-Khet,,,-399,-100,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547904
Head of a Hippopotamus,,,-1390,-1352,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547775
"Statuette of a hippo goddess, probably Taweret",,,-332,-30,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544864
Cat Statuette intended to contain a mummified cat,,,-332,-30,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544118
Striding Thoth,,,-332,-30,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544092
Arm Panel From a Ceremonial Chair of Thutmose IV,,,-1400,-1390,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544826
Statuette of Isis with the infant Horus,,,-332,-30,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/548310
Cult Image of the God Ptah,,,-945,-945,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/549169
Statuette of an ancestral king,,,-390,-246,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547689
Statue of the God Ptah,,,-1070,-1070,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/587598
"Head of a goddess, probably Mut, for attachment to a processional barque",,,-738,-664,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/587591
Estate Figure,,,-1981,-1981,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544210
Relief from the Tomb of Nespekashuty,,,-656,-650,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/548338
Outer Coffin of the Chantress of Amun-Re Henettawy,,,-1000,-945,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/548264
Book of the Dead for the Chantress of Amun Nauny,,,-1050,-1050,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/548264
"Kushite official, subsequently modified",,,-712,-712,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/587760
Mastaba Tomb of Perneb,,,-2381,-2323,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/543937
Scarab of the Storehouse Overseer Wah,,,-1981,-1981,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544228
Hair Comb Decorated with Rows of Wild Animals,,,-3200,-3100,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544067
Face of Senwosret III,,,-1878,-1878,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544184
