Title,Artist,Gender,Earliest Date,Latest Date,Department,Culture,Country,Object Link
The Crucifixion,Master of the Codex of Saint George,,1330,1335,The Cloisters,Italian,France,https://www.metmuseum.org/art/collection/search/471904
Plaque with Censing Angels,,,1170,1180,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/474263
"The Belles Heures of Jean de France, duc de Berry",The Limbourg Brothers,,1405,1409,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/470306
"The Hours of Jeanne d'Evreux, Queen of France",Jean Pucelle,,1324,1328,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/470309
Plaque with Saint John the Evangelist,,,800,850,The Cloisters,Carolingian,Germany,https://www.metmuseum.org/art/collection/search/469837
"Diptych with Scenes of the Annunciation, Nativity, Crucifixion, and Resurrection",,,1300,1325,The Cloisters,German,Germany,https://www.metmuseum.org/art/collection/search/469858
Chalice,,,1230,1250,The Cloisters,German,Germany,https://www.metmuseum.org/art/collection/search/474435
Ewer with Wild Man Finial,,,1495,1505,The Cloisters,German,Germany,https://www.metmuseum.org/art/collection/search/470312
The Adoration of the Shepherds,Bartolo di Fredi,,1374,1374,The Cloisters,Italian,Italy,https://www.metmuseum.org/art/collection/search/470600
Portal from the Church of San Leonardo al Frigido,Biduinus,,1170,1180,The Cloisters,Italian,Italy,https://www.metmuseum.org/art/collection/search/471911
Plaque with the Holy Women at the Sepulchre,,,900,950,The Cloisters,North Italian,Italy,https://www.metmuseum.org/art/collection/search/466254
"Tomb of Ermengol VII, Count of Urgell",,,1297,1353,The Cloisters,Catalan,Spain,https://www.metmuseum.org/art/collection/search/472387
Crucifix,,,1147,1203,The Cloisters,Spanish,Spain,https://www.metmuseum.org/art/collection/search/473008
Lion,,,1200,1299,The Cloisters,Spanish,Spain,https://www.metmuseum.org/art/collection/search/471061
Saint James the Greater,Gil de Siloe,,1489,1493,The Cloisters,Spanish,Spain,https://www.metmuseum.org/art/collection/search/471884
Fragment of a Tapestry or Wall Hanging,,,1417,1433,The Cloisters,Upper Rhenish,Switzerland,https://www.metmuseum.org/art/collection/search/466178
